description	التصنيف
توريد وتركيب قرصه رخام جلاكسي والسعر يشمل كل ما يلزم	رخام وأرضيات
أعمال تركيبات متنوعه للاشياء المطلوبه من قبل السكرتريه	صيانة عامة
أعمال صيانة لوحدات تخزين الملفات وتغير الاكسسوارت اللازمة لعدد 15 وحده	نجارة وأثاث
توريد وتركيب اعمال تغذيه المياه والصرف الصحي 12 متر	سباكة ومياه
توريد وتركيب عدد 9 قفل درج +2 مقبض استيل	نجارة وأثاث
توريد وتركيب عبوة قاطع على المفتاح	كهرباء وإضاءة
توريد وتركيب قفل كهربائي	كهرباء وإضاءة
توريد وتركيب كشاف عز العرب 24 وات	كهرباء وإضاءة
توريد وتركيب كشاف فيلبس(15×15) اصلي	كهرباء وإضاءة
توريد وتركيب محول كهرباء محول طاقة A25	كهرباء وإضاءة
توريد وتغييركشاف موجه 30 وات شواب	كهرباء وإضاءة
توريد وتغييركشاف موجه 30 وات عادي	كهرباء وإضاءة
توريد وتغيير شريط ليد بروفيل وارم	كهرباء وإضاءة
توريد وتغيير شريطين ليد بروفيل وارم	كهرباء وإضاءة
ترميم ودهان الوحدة أعلى باب الصاج	أبواب ونوافذ
ترميمات ودهانات داخل المخزن	دهانات وترميمات
صيانة اليد داخل التجليد العلوية	كهرباء وإضاءة
صيانة وتركيب عجلات الدرف الزجاجية	أبواب ونوافذ
توريد وتركيب مفتاح كهرباء كونتكت للباب الشطر	كهرباء وإضاءة
توريد وتغيير لمبة ديكور 12 وات فيلمنت	كهرباء وإضاءة
صيانة درف خشب وحدة الكاشير	نجارة وأثاث
توريد وتركيب كشاف موفر للطاقة 30 وات الفرنسية	كهرباء وإضاءة
توريد وتركيب مفتاح كهرباء كونتكت	كهرباء وإضاءة
توريد وتركيب مقبض باب زجاج مقاس وسط حرف C	أبواب ونوافذ
توريد وتركيب قفل سكريت استندر	نجارة وأثاث
تثبيت القعدة بالسمنت وإعادة وتركبيها	صيانة عامة
صيانة الباب المصفح لغرفة الموارد البشرية	أبواب ونوافذ
توريد وتغيير شطاف كامل	سباكة ومياه
توريد وتغيير قنطرة خلاط	سباكة ومياه
توريد وتركيب ماكينة باب ايطالي وعمل الصيانة الباب	أبواب ونوافذ
فحص ومراجعة شبكة الكهرباء بالفرع	كهرباء وإضاءة
توريد وتغيير قاطع A40	كهرباء وإضاءة
توريد وتركيب طقم قفل كامل	نجارة وأثاث
فك وصيانة وتركيب قفل	نجارة وأثاث
توريد وتركيب ماكينة غلق أوتوماتيك للمخازن تركي	أبواب ونوافذ
أعمال صيانة بوحدة التخزين اخشبيه	نجارة وأثاث
توريد وتركيب طقم قفل فندقي	نجارة وأثاث
توريد وتركيب كشاف 100 وات واجهة	كهرباء وإضاءة
توريد وتركيب كشاف موفر للطاقة 30 وات الفرنسية	كهرباء وإضاءة
صيانة للاضاءه باللافتة فك ومراجعه	كهرباء وإضاءة
الفحص و التفتيش على انزارالحريق وتسليم شهاده السلامة المهنية	أنظمة الحريق والسلامة
توريد وتركيب طقم قفل خاطف	نجارة وأثاث
توريد وتركيب محول كهرباء محول طاقة A20	كهرباء وإضاءة
توريد وتغيير لمبة ديكور 9 وات	كهرباء وإضاءة
صيانة وإصلاح الدرف الخشبية	نجارة وأثاث
صيانة وإصلاح باب الشطر	أبواب ونوافذ
صيانة وإصلاح صرف الحوض	سباكة ومياه
توريد وتركيب قاطع A16 ليد	كهرباء وإضاءة
توريد وتركيب كشاف كشاف موجه 30 وات وارم	كهرباء وإضاءة
توريد وتركيب محول كهرباء محول طاقة A25 مروحه	كهرباء وإضاءة
توريد وتغيير لمبة ديكور 12 وات وارم	كهرباء وإضاءة
توريد وتغيير سلك شبكة كات 6 بطول 10 متر	صيانة عامة
توريد وتغيير طقم عجلات الترولي	ترولي ومعدات
تثبيت وتقوية أرفف الاستند	نجارة وأثاث
صيانة وتركيب مقبض باب الفرع	أبواب ونوافذ
لحام وتلركيب حروف اللافتة الروسي	لافتات وعلامات
توريد وتركيب طقم باب زجاج فرنساوي +5لقمة جرار	أبواب ونوافذ
توريد وتركيب مفصلة درف	نجارة وأثاث
توريد وتغيير دواية ديكور	كهرباء وإضاءة
توريد وغير لمبة ديكور وارم	كهرباء وإضاءة
توريد وتركيب 4 قطع رخام مقاس 30×25	رخام وأرضيات
توريد وتركيب قطعة كلادينج مقاس 1م×1م	صيانة عامة
توريد وتركيب كشاف إضاءة	كهرباء وإضاءة
صيانة وتثبيت الأرفف الخشبية	نجارة وأثاث
صيانة وإصلاح باب الثلاجة	أبواب ونوافذ
توريد وتركيب كشاف موفر للطاقة 30 وات وارم الفرنسية	كهرباء وإضاءة
توريد وتركيب كشاف سبوت دبلة وارم	كهرباء وإضاءة
توريد وتغيير شريط ليد بروفيل 60 متر	كهرباء وإضاءة
صيانة لي السباكة الاحواض +الحمام تغير كوع	سباكة ومياه
توريد وتركيب كشاف 30 وات وارم	كهرباء وإضاءة
توريد وتركيب لمبة إضاءة نجفة ديكوريةية	كهرباء وإضاءة
توريد وتركيب كشاف22 وات وارم لوحة إضاءة عز العرب	كهرباء وإضاءة
توريد وتركيب كشاف كشاف موجه 30 وات ماركة الصفا	كهرباء وإضاءة
توريد وتركيب لمبة إضاءة 9 وات	كهرباء وإضاءة
توريد وتركيب محول كهرباء 25 أمبير	كهرباء وإضاءة
لاصق الرخام بالسليكون	رخام وأرضيات
توريد وتركيب كشاف موفر للطاقة 30 وات الفرنسية	كهرباء وإضاءة
تثبيت وتركيب وحدة الاستند	نجارة وأثاث
صيانة وإصلاح دوايتين إضاءة	كهرباء وإضاءة
فك وإعادة تركيب رخام الكاونتر مع تثبيته وضبطه	نجارة وأثاث
المراجعة على الوحدات الخشبية بالكامل	نجارة وأثاث
تثبيت سقف المخزن وتركيب 2 عود زاويه	صيانة عامة
تثبيت عدد 2 كامره مراقبه	صيانة عامة
تركيب عداد 3 فاز جديد للفرع وتم فك وتنظيم لوحة الكهرباء لتنظيم الجهد الي 3 فاز	كهرباء وإضاءة
دهانات نضافه للفرع بالكامل	دهانات وترميمات
فك وتنظيف اللافتة مع المراجعة على الاضاءه	كهرباء وإضاءة
فك وإعادة تركيب الحوض بالسليكون الخاص بالاحواض	سباكة ومياه
تصنيع وتوريد وتركيب هيكل معدني لحماية الوحدات الخارجيه للتكيفات	تكييف وتهوية
توريد وتركيب طقم شمعات فلتر تانك 5 مرحله	صيانة عامة
توريد وتركيب قفل للباب الفرع الزجاج	أبواب ونوافذ
توريد وتركيب كشاب موفر للطاقة 20 وات وارم الفرنسية	كهرباء وإضاءة
توريد وتركيب كشاب موفر للطاقة 30 وات وارم الفرنسية	كهرباء وإضاءة
توريد وتركيب كشاف كشاف موجه 30 وات وارم الصفا	كهرباء وإضاءة
توريد وتركيب ليد بدون بروفيل اسفل الكاونتر	كهرباء وإضاءة
توريد وتركيب ماكينه غلق أوتوماتيك للباب الزجاج	أبواب ونوافذ
توريد وتركيب محول توصيل 12 فولت 30 امبير (محول طاقة)	كهرباء وإضاءة
توريد وتركيب مفصله باب زجاج سفليه	أبواب ونوافذ
توريد وتركيب طقم عجل ترولي 3 بوصه	ترولي ومعدات
توريد وتركيب قاطع A32	كهرباء وإضاءة
توريد وتركيب قطع رخام جلاكسي مقاسات متنوعه	رخام وأرضيات
صيانة الترولي وتغيير زوايا حديد مقاس 4×4	ترولي ومعدات
صيانة إضاءة ليد البروفيل	كهرباء وإضاءة
توريد وتغيير مقبض باب الحمام	أبواب ونوافذ
المراجعة الشاملة على شبكة السباكة	سباكة ومياه
المراجعة الشاملة على الكهرباء	كهرباء وإضاءة
فك الحوض+الخلاط+الغلاية وتم اعادة تركبيهم	سباكة ومياه
توريد وتركيب طقم عجلة ترولي	ترولي ومعدات
توريد وتركيب محول كهرباء 12.5 أمبير	كهرباء وإضاءة
توريد وتركيب خشب مجرى للأدراج الجرارة	نجارة وأثاث
توريد وتركيب مجرى دليل للأدراج	نجارة وأثاث
توريد وتركيب كشاف موفر للطاقة وارم 30 وات الفرنسية	كهرباء وإضاءة
توريد وتغيير سلك شبكة كات 6 للكاشير	صيانة عامة
توريد وتغيير إضاءة ليد الجانب الخارجي	كهرباء وإضاءة
تلميع خشب العمود الي الخارج	نجارة وأثاث
تلميع وتنظيف واجهة الوارمر	صيانة عامة
دهان العمود اسود + سيلر	دهانات وترميمات
دهان خشب الخشب الصنوبر	نجارة وأثاث
دهان خشب الكاونتر اسود	نجارة وأثاث
صرف المحل+الخط الرائسي لصرف العمارة	سباكة ومياه
توريد وتركيب مسطرة كشاف موجه 1 متر اسود	كهرباء وإضاءة
توريد وتركيب نجفة ليد 6 وات	كهرباء وإضاءة
توريد وتركيب كشاف واجهات 100 وات وارم داون وتربروف	كهرباء وإضاءة
توريد وتركيب لمبة داخل المخزن	كهرباء وإضاءة
توريد وتركيب لوح خشب 6مل بجانب الوجهات	نجارة وأثاث
توريد وتركيب قلب خلاط حوض	سباكة ومياه
تجهيز وتوريد وتركيب رخام حلايب لارض المعارض وتم عمل	رخام وأرضيات
توريد وتركيب ارضيه نجيله صناعي والبند يشمل مواد اللاصق وكافه ما يلزم لحين الانتهاء	رخام وأرضيات
فك وإعادة تركيب الخلاط والحوض لتسهيل صيانات الوحدات وتقويته وتم المراجعة على البند قبل الانهاء	سباكة ومياه
فك وإعادة تركيب الخلاط والحوض وتم المراجعة على البند قبل الانهاء	سباكة ومياه
توريد وتركيب وتقويه الوحدات الخشبية بالكامل وام تركيب 20 زاويه معدنيه للتثبيت	نجارة وأثاث
توريد وتقويه الوحدات الخشبية بالكامل تم تركيب 12 زاويه معدنيه لفرع المناره 3	نجارة وأثاث
توريد وتقويه الوحدات الخشبية بالكامل لفرع المناره 1 وتم تركيب 16 زاويه معدنيه	نجارة وأثاث
أعمال صيانة الباب الزجاج	أبواب ونوافذ
لستاره الهواء - فك وتركيب ومراجعة على البند	صيانة عامة
لستاره الهواء - فك وتركيب ومراجعة على البند عدد 3 ستاره	صيانة عامة
فك وإعادة تركيب الحوض وتم التثبيت بسيليكون اسمر	سباكة ومياه
توريد وتركيب صرف حوض ستانلس ستيل 3 بوصه	سباكة ومياه
توريد وتركيب طقم جرار درج 35 سم مرحلتين	نجارة وأثاث
توريد وتركيب طقم جرار درج 35 سم مرحلتين فرع المناره 1	نجارة وأثاث
توريد وتركيب فلتر مياه 5 مراحله تانك ويشمل التوصيلات	سباكة ومياه
توريد وتركيب لمبه ديكور 6 وات فيلمنت وارم	كهرباء وإضاءة
توريد وتركيب مرايات من الخشب الكاونتر pvc مقاس 0.08*3.80 للوحدات الخشبية	نجارة وأثاث
توريد وتركيب مفتاح كهرباء ماركه شواب 16 امبير	كهرباء وإضاءة
توريد وتركيب مفصلات للادراف وحدات الكاونتر	نجارة وأثاث
توريد وتغيير بلاطه ليد 60*60 ابيض 48 وات السويدي	كهرباء وإضاءة
توريد وتركيب محول إضاءة اللافتة	كهرباء وإضاءة
توريد وتركيب حروف اللافتة الخارجية	لافتات وعلامات
توريد وتركيب خط صرف للرئيسي	سباكة ومياه
صيانة ثلاجة المجففات وتغيير الكابلات	صيانة عامة
تنظيف وصيانة ستارة الهواء	صيانة عامة
توريد وتركيب تجليد طوب (7.40×0.30)	كهرباء وإضاءة
توريد وتركيب كشاف سبوت 7 وات وارم	كهرباء وإضاءة
دهان بجانب وحدة الكاونتر	نجارة وأثاث
دهان وترميم الوجهات بالكامل	دهانات وترميمات
عمل لحام الجانب الأيمن من الوحدة بالسليكون	نجارة وأثاث
توريد وتركيب لمبة ديكور 13 وات	كهرباء وإضاءة
ترميم سقف داخل المخزن(90×100)	دهانات وترميمات
توريد وتركيب 2 طبلية خشب (60×110)(40×170)	نجارة وأثاث
توريد وتركيب زوايا معدنية مقاس 3×3	صيانة عامة
تقوية الوارمر الايمن	صيانة عامة
دهان المخزن الايمن بالفرع بالكامل	دهانات وترميمات
دهان المخزن الثاني في الرافع بالكامل	دهانات وترميمات
توريد وتركيب البلاط المكسور+عود اوميجا للتثبيت الجبس	رخام وأرضيات
توريد وتركيب لوح خشب أبلكاش (50×120)	صيانة عامة
توريد وتركيب لوح جبس بالمخزن (90×100)	صيانة عامة
توريد وتركيب طقم عجلات لجزيرة العرض	ترولي ومعدات
توريد وتركيب كشاف موجه 30 وات	كهرباء وإضاءة
توريد وتركيب قطعة خشب للجزيرة	نجارة وأثاث
توريد وتركيب قشاط خشب الصنوبر لأطار الرفوف	نجارة وأثاث
توريد وتركيب مفصلة للدرف الخشبية	نجارة وأثاث
دهان طبقة نظافة نهائية الفرع +الوجها+المخزن بالكامل	دهانات وترميمات
صيانة الباب الشطر الفرع +صيانة القفل	أبواب ونوافذ
صيانة ومراجعة مسارات السباكة بالكامل	سباكة ومياه
أعمال دهاندرف الفرع بالكامل	نجارة وأثاث
توريد وتركيب طقم عجلات للدرف	نجارة وأثاث
توريد وتركيب كشاف عز العرب 30 وات	كهرباء وإضاءة
توريد وتركيب محول مروحة 20 أمبير	كهرباء وإضاءة
توريد وتركيب كشاف سبوت 7 وات	كهرباء وإضاءة
توريد وتركيب كشاف سبوت 7 وات اشنايدر	كهرباء وإضاءة
توريد وتركيب طقم مفصلة سوستة	نجارة وأثاث
توريد وتركيب عود مجرى سوستة	نجارة وأثاث
توريد وتركيب مفصلة عادة	نجارة وأثاث
صيانة وإصلاح مقبس كهربائي الكهرباء بجانب الكاشير	صيانة عامة
توريد وتركيب كشاف موجه مروحة 30 وات وارم	كهرباء وإضاءة
طقم المقبس كهربائي في وحدة الكاشير	نجارة وأثاث
توريد وتركيب حنفية لفلتر المياه	سباكة ومياه
توريد وتركيب خلاط لفلتر المياه	سباكة ومياه
توريد وتركيب كشاف عز العرب 22 وات وارم	كهرباء وإضاءة
توريد وتركيب صرف حوض كامل	سباكة ومياه
توريد وتركيب إضاءة ليد للافتة	كهرباء وإضاءة
توريد وتركيب 2 طبلية خشب (40×90)	نجارة وأثاث
لاصق حلة الحوض بالسلكون	سباكة ومياه
توريد وتركيب كشاف خارج إضاءة سقفية اسليندر 10×7 سم 12 وات	كهرباء وإضاءة
توريد وتركيب طقم مقبس كهربائي عادة + قوة وتشمل هيكل والوجه	كهرباء وإضاءة
توريد وتركيب خلاط حوض إيطالي كامل	سباكة ومياه
توريد وتركيب أكرة للدرف الخشبية	نجارة وأثاث
توريد وتركيب دواية ديكور باكتوني في المخزن	كهرباء وإضاءة
توريد وتركيب قفل حماية لباب الفرع	أبواب ونوافذ
توريد وتركيب لمبة ديكور طويلة 4 وات	كهرباء وإضاءة
دهان الفرع كامل + الوجهة + المخزن بدون تحريك الارفف	نجارة وأثاث
عود ليد الوارمان واعادة تشغيله	كهرباء وإضاءة
توريد وتركيب كشاف كشاف موجه 30 وات وارم	كهرباء وإضاءة
توريد وتركيب محول كهرباء 20 أمبير	كهرباء وإضاءة
توريد وتركيب شريط ليد بروفيل وارم 5 متر	كهرباء وإضاءة
الليد البروفيل اعلي وحدة الكاشير	كهرباء وإضاءة
توريد وتركيب كشاف سبوت 7 وات في الخارج	كهرباء وإضاءة
توريد وتركيب لمبة فلبس 9 وات وارم	كهرباء وإضاءة
ستارة الهواء واعادة تركبها	صيانة عامة
توريد وتركيب محول كهرباء	كهرباء وإضاءة
توريد وتركيب كشاف سبوت وارم دبلة	كهرباء وإضاءة
توريد وتركيب كشاف عز العرب وارم	كهرباء وإضاءة
توريد وتركيب كشاف وجها 100 وات ابيض	كهرباء وإضاءة
توريد وتركيب كشاف موجه مروحة	كهرباء وإضاءة
توريد وتركيب مسطرة كشاف موجه 2 متر	كهرباء وإضاءة
توريد وتركيب كشاف 100 وات خارج	كهرباء وإضاءة
توريد وتركيب ليد هاي باور لللافتة عدد 120	كهرباء وإضاءة
توريد وتركيب محول توصيل لللافتة	كهرباء وإضاءة
توريد وتركيب تجليد حائط طوب (270×244)	كهرباء وإضاءة
توريد وتركيب ليد بروفيل دبل	كهرباء وإضاءة
توريد وتركيب وحدة تخزين للبرستة (82×45)	نجارة وأثاث
توريد وتركيب وحدة حوض خشب (70×100)	سباكة ومياه
توريد وتركيب وحدة حوض خشب (120×90×60)	سباكة ومياه
فك رخام الحوض وتركيب رخام الكاونتر بالكامل	سباكة ومياه
فك ولاصق الحوض بالسيليكون	سباكة ومياه
توريد وتركيب خلاط ساخن وبارد ايطالي	سباكة ومياه
توريد وتركيب فلتر مياه 5 مرحلة	سباكة ومياه
توريد وتركيب خلاط حوض كامل ساخن و بارد	سباكة ومياه
صنفر اللافتة+ دهان البيتش ياين سيلر خشب الصنوبر	نجارة وأثاث
فك 2لوح رخام وتنظفاها وإعادة تركبها بالسليكون	رخام وأرضيات
فك اللافتة بالكامل وتنظفاها بالكامل وإعادة تركبها	لافتات وعلامات
تعديل و تركيب لوحة أسعار + استند حديد	صيانة عامة
توريد وتركيب 2تجليد خشب (305×20)	كهرباء وإضاءة
توريد وتركيب تجليد خشب أبلكاش (210×1)	كهرباء وإضاءة
توريد وتركيب تجليد خشب أبلكاش (210×55)	كهرباء وإضاءة
توريد وتركيب تجليد خشب للوجها (305×55)	كهرباء وإضاءة
توريد وتركيب سلك 2m مجدول 5 متر	صيانة عامة
ضبط وصيانة وحدات الثلاجة	صيانة عامة
توريد وتركيب مقبس كهربائي عادة +لقمة شواب	كهرباء وإضاءة
توريد وتركيب مقبس كهربائي قوة +لقمة شواب	كهرباء وإضاءة
دهان اعلي الحوض باللون الابيض	سباكة ومياه
دهان الفرع من الخارج بالكامل باللون الابيض	دهانات وترميمات
توريد وتركيب عجلات للدرف الخشبية	نجارة وأثاث
توريد وتركيب رجل ستانلس ستيل 10 سم	صيانة عامة
توريد وتركيب كشاف موجه مروحة 30 وات وارم	كهرباء وإضاءة
توريد وتركيب كشاف موجه مروحة 30 وات ماركة الصفا	كهرباء وإضاءة
توريد وتركيب طقم مفتاح للمخزن	صيانة عامة
توريد وتركيب مفتاح ليد كهرباء	كهرباء وإضاءة
توريد وتركيب خشب لارف الحديد 80 سم * 5 متر	نجارة وأثاث
توريد وتركيب شريط خشب اسود	نجارة وأثاث
توريد وتركيب وحدة اسعار ديكور (80×50)	نجارة وأثاث
صيانة درف الاستند الحديد بالكامل	نجارة وأثاث
لاصق وزر رخام بالسلكون	رخام وأرضيات
المراجعة و ظبط والدليات الديكور	صيانة عامة
صيانة درف الكاونتر بالكامل	نجارة وأثاث
كشاف الوجهة + تغير سلك الكشاف	كهرباء وإضاءة
نقل وتركيب وجه وحدة الثلاجة + الدهان	نجارة وأثاث
توريد وتغيير ليد كشاف كشاف موجه 30 وات	كهرباء وإضاءة
توريد وتركيب طقم عجل سوستة	ترولي ومعدات
توريد وتركيب رجل استيل 10 سم	صيانة عامة
توريد وتركيب طقم مفصلة جرار	نجارة وأثاث
توريد وتركيب كشاف موفر للطاقة 30 وات وارم الفرنسية	كهرباء وإضاءة
توريد وتركيب مقبض ستانلس ستيل للدرف	نجارة وأثاث
توريد وتركيب قفل درفه وحده مدفع تتش	نجارة وأثاث
توريد وتركيب مدفع خزنه تتش	صيانة عامة
توريد وتركيب قضيب سوستة 7 سم	صيانة عامة
توريد وتغيير ليد بروفيل وارم 120 وارم	كهرباء وإضاءة
توريد وتغيير ليد بروفيل وارم120 وات	كهرباء وإضاءة
توريد وتركيب عود مجره المنيوم جرار 3 متر	صيانة عامة
توريد وتركيب كشاف إضاءة في المخزن	كهرباء وإضاءة
فتحة من لوحة الكهرباء لللافتة	كهرباء وإضاءة
دهان الخشب اسود بالكامل	نجارة وأثاث
أعمال دهان الفرع بالكامل طبقة نظافة نهائية	دهانات وترميمات
دهان الفرع طبقة نظافة نهائية بالكامل	دهانات وترميمات
دهان الفرع طبقة نظافة نهائية بالكامل+المخزن	دهانات وترميمات
صيانة وإصلاح الخلاط والفلتر	سباكة ومياه
صيانة باب الزجاج وتثبيت	أبواب ونوافذ
مسطرة الكشاف موجه + تركيب مشتركين	كهرباء وإضاءة
فتحة للوحة الكهرباء لطفاية الحريق	كهرباء وإضاءة
لسباكه وتغير وصله تغذيه المياه (مول طنطا)	سباكة ومياه
تركيب لوح جبس جديد وترميم مكان العمل بالدهانات	أبواب ونوافذ
تغير زمبلك باب شطر مع تركيب شريط جانبي للباب بالكامل	أبواب ونوافذ
توريد وتركيب كشاف اسلندر 12 وات وارم	كهرباء وإضاءة
توريد وتركيب كشاف بنل عز العرب أبيض 22 وات	كهرباء وإضاءة
توريد وتركيب خلاط فلتر المياه	سباكة ومياه
توريد وتركيب خلاط حوض ايطالي	سباكة ومياه
توريد وتركيب قاطع 3فاز 63A	كهرباء وإضاءة
توريد وتركيب جرله علي الوجهة لتكيف مقاس 40*100	تكييف وتهوية
توريد وتركيب عود ستانلس ستيل (3×3) 244	صيانة عامة
توريد وتغيير ليد عاده دبل + 2فيشة	كهرباء وإضاءة
توريد وتغيير لاصق شريط اسود 18 سم	صيانة عامة
ترميم الباب الخلفي للفرع	أبواب ونوافذ
ستارة الهواء + نظافة	صيانة عامة
توريد وتركيب لفة سلك 16م السويدي+2لفة خرطوم	صيانة عامة
صيانة الصرف الفرع + الصرف الرئيسي بالكامل	سباكة ومياه
توريد وتركيب كشاف سبوت كأسة 7 وات في الخارج	كهرباء وإضاءة
توريد وتركيب طقم شمع فلتر مياه 5 مرحلة	سباكة ومياه
توريد وتركيب مفصلة درف الخشب	نجارة وأثاث
توريد وتركيب كشاف موجه 30 وات مروحة	كهرباء وإضاءة
توريد وتركيب كشاف 30 وات B.m وارم	كهرباء وإضاءة
توريد وتركيب محول ليد 25 أمبير	كهرباء وإضاءة
توريد وتركيب طقم مقبس كهربائي قوة + عادة	كهرباء وإضاءة
توريد وتركيب لمبة 12 وات وارم الجزيرة	كهرباء وإضاءة
توريد وتركيب مفصلات درف الكاونتر +الوارم	نجارة وأثاث
توريد وتركيب قطع قرصة بتش للكاونتر+ الحوض (156×60) (60×76)	سباكة ومياه
توريد وتركيب اوجهاط خشب بيتش (5×9 متر)	نجارة وأثاث
توريد وتركيب 3 لمبات إضاءة في المخزن	كهرباء وإضاءة
البولات الخاصة بالبن	صيانة عامة
دهان السلم الحديد طبقة نظافة نهائية	دهانات وترميمات
دهان المخزن طبقة نظافة نهائية	دهانات وترميمات
دهان الوجها طبقة نظافة نهائية	دهانات وترميمات
صنفرة الوجها + دهان سلر بالكامل	دهانات وترميمات
نقل وصيانة وتوريد مره اخري ترولي (طقم عجلة)	ترولي ومعدات
توريد وتركيب مقبض باب زجاج	أبواب ونوافذ
إعادة برمجة لوحة الفاير	أنظمة الحريق والسلامة
صيانة كارت لوحة إنذار الحريق	أنظمة الحريق والسلامة
وتم عمل اختبار وتسليم إدارة المول	صيانة عامة
توريد وتركيب عود سيلينج للباب الزجاج	أبواب ونوافذ
توريد وتركيب فلتر مياه تانك 5مرحلة	سباكة ومياه
توريد وتركيب كشاف عز العرب ورام	كهرباء وإضاءة
توريد وتركيب مفصلات للدرف	نجارة وأثاث
توريد وتركيب مقبض للدرف	نجارة وأثاث
توريد وتركيب قضيب سوستة 6 سم	صيانة عامة
توريد وتركيب سلك شبكة كات 6	صيانة عامة
توريد وتركيب شريط لاصق اسود 18م	صيانة عامة
توريد وتغيير شريط ليد بروفيل	كهرباء وإضاءة
صيانة درف الحديد المخزن بالكامل +++++	نجارة وأثاث
صيانة وإصلاح جميع درف الفرع	نجارة وأثاث
توريد وتركيب نجفة إضاءة ديكورية	صيانة عامة
توريد وتركيب كشاف سبوت 3 وات وارم دبلة	كهرباء وإضاءة
توريد وتركيب مقبس كهربائي عادة ليد شواب	كهرباء وإضاءة
توريد وتركيب تكية لتثبيت الرف	صيانة عامة
توريد وتركيب مفصلة للدرف	نجارة وأثاث
توريد وتغيير محول توصيل ليد الكاشير	كهرباء وإضاءة
دهان الفرع طبقة نظافة نهائية بالكامل +الوجهه	دهانات وترميمات
سنفرة + دهان وجه الوارم	دهانات وترميمات
أعمال اصلاح لتوصيلات السباكه وتغير صرف حوض	سباكة ومياه
أعمال الصيانة المتنوع للوحدات الخشبية وتغير الاكسسوارات اللزمة	نجارة وأثاث
لاصق وزرة رخامية رخام بالسيليكون	رخام وأرضيات
دهان الدرف الخشب + الكاشير اسود	نجارة وأثاث
دهان طبقة نظافة نهائية للوجها بالكامل	دهانات وترميمات
توريد وتركيب شريط لاصق اسود (18م)	صيانة عامة
صيانة درف الكاونتر + سنفرة + دهان سلر	نجارة وأثاث
توصيل علي سلك الارضي في مسار الكاشير	صيانة عامة
صيانة باب المخزن +سنفرة + دهان سلر	أبواب ونوافذ
توريد وتركيب كشاف 30 وات ابيض للمخزن	كهرباء وإضاءة
دهان الفرع طبقة نظافة نهائية + مرمات بالكامل	دهانات وترميمات
لحام عجلة الترولي وإعادة تركيبها	ترولي ومعدات
توريد وتركيب صرف للحوض	سباكة ومياه
توريد وتركيب قفل باب سيكوريت	أبواب ونوافذ
توريد وتركيب محول توصيل ليد اللافتة	كهرباء وإضاءة
توريد وتركيب كشاف موجه 30 وات خارجي	كهرباء وإضاءة
توريد وتركيب كشاف موجه فيلبس بالطرنظ	كهرباء وإضاءة
توريد وتركيب إضاءة ليد للافتة	كهرباء وإضاءة
توريد وتركيب مفتاح انارة سانش	صيانة عامة
توريد وتركيب 2 درف خشب للباسكت (32×17)	نجارة وأثاث
صنفرة خشب الوجهة + دهان سلير	نجارة وأثاث
دهان كشافات الوجها باللون الاسود	كهرباء وإضاءة
مراجعة دهان الفرع +صنفرخشب الوجها بعد صيانة التكيفات	نجارة وأثاث
عدد -تم توريد وتركيب 2 زوية للكاشير(2×2) مقاس 60	صيانة عامة
توريد وتركيب طبلة الباب الزجاج	أبواب ونوافذ
توريد وتركيب طقم مقبض زجاج	أبواب ونوافذ
تصنيع وتوريد وتركيب باب الكاونتر 100*80	أبواب ونوافذ
تم توريد وتركيب عود فرش باب زجاج	أبواب ونوافذ
توريد وتركيب هيدر للمياه أو الكهرباء	صيانة عامة
توريد وتركيب قعدة خشب اسود (244×25)	نجارة وأثاث
مسطح-تم توريد وتركيب جبس بورد	صيانة عامة
توريد وتركيب محبس زوية للخلاط	سباكة ومياه
مرمات علي الجبس بورد +معجون+فتحات للجبس	دهانات وترميمات
صيانة خلاط الحوض وفلتر المياه	سباكة ومياه
كشافات إضاءة علوية وسفلية علي الوجهة	كهرباء وإضاءة
لاصق حلة الحوض +الرخام بالسلكون	سباكة ومياه
لاصق شريط اسود لثلاجة	صيانة عامة
توريد وتركيب كشاف سبوت 3 وات وارم	كهرباء وإضاءة
توريد وتركيب لمبة كاسة علي الوجها 7 وات	كهرباء وإضاءة
توريد وتركيب كشاف بنل 22 وات وارم + ابيض	كهرباء وإضاءة
تقوية هيكل التكيف بالزواية الحديد (3×3) عدد12	تكييف وتهوية
سنفر+ لتجليد +الدهان بسلر الجزء السفلي	كهرباء وإضاءة
سنفر+دهان بسلر الجزاء السفلي لباب المخزن	أبواب ونوافذ
دهان الفرع بالكامل طبقة نظافة نهائية +المخزن+الوجهة	دهانات وترميمات
دهان درف الكاونتر بالكامل	نجارة وأثاث
دهان وجه الثلاجة + سنفرة+ دهان بالسلر	دهانات وترميمات
سنفرة الوجهة دهان بسلير كامل	دهانات وترميمات
صيانة الباب + الزجاج + تثبيت الوجهه	أبواب ونوافذ
توريد وتركيب بواط مقاس 10×10 سم	صيانة عامة
توريد وتركيب عود قناة كهربائية 6 متر	صيانة عامة
توريد وتركيب كاميرات سلك كات 6	صيانة عامة
فك خشب الوجها وتركيبه للمول	نجارة وأثاث
قفل باب المخزن + تغير لاصق شريط اسود	أبواب ونوافذ
توريد وتركيب تجليده لجانبي الكونتتر و الكاشير من الواح الخشب الصنوبر والبند يشمل الإكسسوارات وكل ما يلزم لحين الانتهاء	كهرباء وإضاءة
