description	التصنيف
توريد وتركيب وصلة مواسير مقاس 3/4 بوصة	صيانة عامة
لوحة الفاير وتم استلم المول	أنظمة الحريق والسلامة
توريد وتركيب عداد كهرباء (2 فاز السويدي)	كهرباء وإضاءة
توريد وتركيب شطاف محبس الحمام	سباكة ومياه
توريد وتركيب شطاف يد غير كامل	سباكة ومياه
توريد وتركيب شطاف كامل (نسائي)	سباكة ومياه
توريد وتركيب صرف حوض (نسائي)	سباكة ومياه
توريد وتركيب صرف كامل في المعمل	سباكة ومياه
توريد وتركيب محبس زوية للثلاجة المياه	سباكة ومياه
المراجعة والسقية الحوائط و الأرضية (نسائي + رجالي)	رخام وأرضيات
توريد وتركيب كشاف 30 وات وارم	كهرباء وإضاءة
توريد وتركيب كشاف فيلبس اصلي	كهرباء وإضاءة
ترميم الخشب (بالمعجون + صنفرة)	نجارة وأثاث
توريد وتركيب طقم عجل للدرف الوحدات	نجارة وأثاث
توريد وتركيب عجل ترولي ومراجعة علي لحامات الترولي	ترولي ومعدات
توريد وتركيب كشاف موجه 30 وات مروحة	كهرباء وإضاءة
توريد وتركيب باب زجاج لتغير الباب السابق	أبواب ونوافذ
توريد وتغيير كشاف موفر للطاقة 30 وات الفرنسية	كهرباء وإضاءة
توريد وتغيير محول توصيل 20 امبير (محول طاقة)	كهرباء وإضاءة
عمل فتحة في قطعة الرخام للتركيبات	رخام وأرضيات
توريد وتركيب فلتر مياه تنك 5 مرحلة	سباكة ومياه
تغير وتركيب مسمار مقبضي باب زجاج	أبواب ونوافذ
توريد وتركيب لمبه 9 وات وارم	كهرباء وإضاءة
توريد وتركيب شريط ليد بروفيل يشمل محول التوصيل	كهرباء وإضاءة
لاصق الحوض بسيليكون اسود خاص للاحواض	سباكة ومياه
فك واعادة تركيب الوزرة رخامية بالمادة الخاصة بلصق الرخام	رخام وأرضيات
توريد وتركيب عود قناة كهربائية وظبط مسار الاسلاك	صيانة عامة
توريد وتركيب كشاف 50 وات وجهات ابيض	كهرباء وإضاءة
توريد وتركيب كشاف إضاءة علوية وسفلية خارجي 15 وات	كهرباء وإضاءة
توريد وتركيب مفصلات لي الدرف	نجارة وأثاث
توريد وتركيب طفاية حريق ٦ كيلو CO2 بافاريا	أنظمة الحريق والسلامة
لاصق شريط اسود للدرف بوحدات الكاونتر	نجارة وأثاث
دهان الارفف للفرع بالكامل بالون الاصفر+ سيلر	نجارة وأثاث
دهان الفرع بالكامل بالون الابيض (طبقة نظافة نهائية)	دهانات وترميمات
دهان للوجهه بالكامل بالون الابيض (طبقة نظافة نهائية + الترميمات)	دهانات وترميمات
دهان للوحدات بالفرع بالكامل بالون الاسود	دهانات وترميمات
هدم الحائط وترميم بالمعجون و عمل ما يلزم للبند	دهانات وترميمات
توريد وتركيب لمبة ديكور فيلبس	كهرباء وإضاءة
